LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"SEEPZ Road, Mumbai","JVLR, Mumbai",19.1260269,72.872871,19.1247111,72.8957516
"WEH , Mumbai","andheri, Mumbai",19.0759837,72.8776559,19.1171389,72.846563
"Juinagar , Mumbai","CST, Mumbai",19.051493,73.014991,18.9409708,72.8346536
"Bandra SV , Mumbai","Mahim, Mumbai",19.0547926,72.84065489999999,19.0351534,72.8404432
"Elphistone , Mumbai","Mumbai, Mumbai",19.0074271,72.8359006,19.0176169,72.8561288
"Goregaon west, Mumbai","Military, Mumbai",19.1629338,72.839241,19.2002946,72.86437339999999
"#Godbunderroad , Mumbai","borivali, Mumbai",19.3041368,72.862989,19.2371877,72.8441358
"Panbel , Mumbai","Panvel, Mumbai",18.9894007,73.1175162,18.9894007,73.1175162
"#HajiAli , Mumbai","#Worli Naka, Mumbai",18.979467,72.81246229999999,19.000633,72.81681209999999
"Malad , Mumbai","Chembur, Mumbai",19.1867884,72.8488709,19.0327996,72.89635679999999
"worli , Mumbai","Borivili, Mumbai",18.9872015,72.8290456,19.2371877,72.8441358
"hajiali , Mumbai","Tardeo, Mumbai",18.9778192,72.8104819,18.9649699,72.80918249999999
"Thane Belapur Road, Mumbai","Thane, Mumbai",19.1425582,73.0120312,19.0759837,72.8776559
"Andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497
"Borivili , Mumbai","worli, Mumbai",19.2371877,72.8441358,18.9872015,72.8290456
"Thane , Mumbai","Kurla, Mumbai",19.0759837,72.8776559,19.0599836,72.889999
"Vakola , Mumbai","Santacruz, Mumbai",19.0788783,72.85003069999999,19.0825552,72.84176269999999
"LBS Road, Mumbai","Ghatkopar, Mumbai",19.0797781,72.886904,19.0856491,72.9082207
"milindnagar , Mumbai","jogeshwari, Mumbai",19.0956154,72.8940076,19.1405116,72.8421555
"Ghatkopar , Mumbai","mahalaxshami, Mumbai",19.0856491,72.9082207,18.983117,72.8168573
"Powai , Mumbai","Oberoi, Mumbai",19.1196773,72.9050809,19.1147912,72.8936779
"Dadar , Mumbai","Vikhroli, Mumbai",19.021324,72.84241779999999,19.091182,72.92086359999999
"Goregoan , Mumbai","VileParle, Mumbai",19.1551485,72.8678551,19.1030524,72.8466914
"Bhakti , Mumbai","Mazgaon, Mumbai",19.0725876,72.9080355,18.9718388,72.8436024
"Bangalore , Mumbai","Bangalore, Mumbai",13.0422952,77.59015509999999,13.0422952,77.59015509999999
"Nalasopara , Mumbai","Andheri, Mumbai",19.3131804,72.8522864,19.1171389,72.846563
"Thane , Mumbai","Powai, Mumbai",19.0759837,72.8776559,19.1196773,72.9050809
"Andheri , Mumbai","Vira, Mumbai",19.1171389,72.846563,19.008467,72.835011
"EEH , Mumbai","Kalina, Mumbai",19.0759837,72.8776559,19.076277,72.8653997
"Goregaon , Mumbai","Andheri Powai, Mumbai",19.1551485,72.8678551,19.1196773,72.9050809
"Chowpatty , Mumbai","Churchgate, Mumbai",18.9547494,72.81388179999999,18.9322453,72.8264378
"Dahisar , Mumbai","Kashimira, Mumbai",19.2499632,72.85939429999999,19.2798752,72.88551629999999
