LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2,LAT1_NEAR,LNG1_NEAR,LAT2_NEAR,LNG2_NEAR
"Chowpatty , Mumbai","Churchgate, Mumbai",18.9547494,72.8138818,18.9322453,72.8264378,18.956997,72.812969,18.933741,72.827707
"Dahisar , Mumbai","Kashimira, Mumbai",19.2499632,72.8593943,19.2798752,72.8855163,19.247674,72.859154,19.276183,72.881928
"Worli Naka , Mumbai","Bandra, Mumbai",19.000633,72.8168121,19.0606917,72.8362497,18.998624,72.818104,19.059348,72.833521
"Mumbai , Mumbai","Panvel, Mumbai",19.0176169,72.8561288,18.9894007,73.1175162,19.014153,72.852038,18.988543,73.121323
"thane , Mumbai","Wadala., Mumbai",19.0759837,72.8776559,19.0151285,72.8580644,19.075357,72.878716,19.013655,72.855231
"Mumbai-Pune expressway , Mumbai","Khandala, Mumbai",18.9964198,73.1324692,18.7548203,73.3777772,18.996091,73.127751,19.013655,72.855231
"Mankhurd flyover, Mumbai","Mumbai, Mumbai",19.0512852,72.9371466,19.0176169,72.8561288,19.051552,72.937282,19.014153,72.852038
"WEH , Mumbai","bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497,19.075357,72.878716,19.059348,72.833521
"Jogeshwari , Mumbai","Hiranandani, Mumbai",19.1405116,72.8421555,19.1153798,72.9091436,19.143995,72.841998,19.115548,72.905842
"Ghatkopar , Mumbai","Kurla, Mumbai",19.0856491,72.9082207,19.0599836,72.889999,19.08884,72.907007,19.057373,72.887851
"Powai , Mumbai","Sakinaka, Mumbai",19.1196773,72.9050809,19.0948958,72.8865248,19.123749,72.909776,19.099122,72.887805
"Andheri west, Mumbai","Bandra, Mumbai",19.1363246,72.82766,19.0606917,72.8362497,19.134147,72.825755,19.059348,72.833521
"Borivali , Mumbai","Parle, Mumbai",19.2371877,72.8441358,19.1050428,72.8457203,19.241261,72.84643,19.103449,72.85027
"Wadala , Mumbai","Chembur, Mumbai",19.0151285,72.8580644,19.0327996,72.8963568,19.013655,72.855231,19.034365,72.895869
"Powai , Mumbai","NaviMumbai., Mumbai",19.1196773,72.9050809,19.0330488,73.0296625,19.123749,72.909776,19.029425,73.028982
"Mahalaxmi , Mumbai","Haji Ali., Mumbai",18.983117,72.8168573,18.9778192,72.8104819,18.97968,72.820348,18.9735,72.809168
"chakala , Mumbai","WEH., Mumbai",19.1097712,72.8582672,19.0759837,72.8776559,19.108798,72.85547,19.075357,72.878716
"Thane Belapur , Mumbai","Nerul, Mumbai",19.1425582,73.0120312,19.033,73.02,19.145422,73.00997,19.033719,73.020573
