SER,LAT1,LNG1,LAT2,LNG2,Distance,Speed,Condition,TIME
48,18.958533,72.810356,18.957868,72.811402,0.134,15.561290322580644,Medium,Monday 03:38 13-07-2015
49,18.957214,72.812501,18.956427,72.813789,0.161,20.7,Medium,Monday 03:38 13-07-2015
51,18.955434,72.816025,18.956464,72.815657,0.12,24.0,Mild,Monday 03:38 13-07-2015
52,18.960663,72.808893,18.962453,72.807965,3.969,21.230906389301634,None,Monday 03:38 13-07-2015
53,18.963618,72.807614,18.96465,72.807447,0.124,10.145454545454546,None,Monday 03:38 13-07-2015
54,18.965672,72.807481,18.96499,72.807512,0.074,53.279999999999994,Heavy,Monday 03:38 13-07-2015
55,18.967609,72.808049,18.968753,72.808679,0.143,32.175,Mild,Monday 03:38 13-07-2015
56,18.956996,72.81601,18.957341,72.817174,0.127,21.77142857142857,None,Monday 03:38 13-07-2015
57,18.957709,72.818437,18.958018,72.819451,0.11,20.842105263157897,None,Monday 03:38 13-07-2015
58,18.957955,72.820221,18.9578,72.819019,0.136,20.400000000000002,None,Monday 03:38 13-07-2015
59,18.958134,72.8217,18.958163,72.823554,0.199,21.70909090909091,None,Monday 03:38 13-07-2015
60,18.958164,72.82549,18.958174,72.827121,0.194,12.69818181818182,None,Monday 03:38 13-07-2015
61,18.958159,72.82788,18.958192,72.829009,0.132,15.329032258064517,None,Monday 03:38 13-07-2015
62,18.958024,72.828711,18.958032,72.82792,0.082,14.760000000000002,Mild,Monday 03:38 13-07-2015
63,18.964841,72.812821,18.966307,72.813336,0.165,16.97142857142857,Heavy,Monday 03:38 13-07-2015
64,18.968975,72.815186,18.969346,72.816511,0.192,6.283636363636364,Mild,Monday 03:38 13-07-2015
65,18.968928,72.820706,18.970212,72.82118,0.152,21.887999999999998,Heavy,Monday 03:38 13-07-2015
66,18.973778,72.822758,18.975919,72.823617,0.264,18.276923076923076,Medium,Monday 03:38 13-07-2015
67,18.978836,72.824663,18.980487,72.826213,0.246,20.127272727272725,Heavy,Monday 03:38 13-07-2015
68,18.981897,72.824993,18.98144,72.826044,0.113,27.12,None,Monday 03:38 13-07-2015
69,18.981643,72.826454,18.982328,72.826082,0.087,14.236363636363636,None,Monday 03:38 13-07-2015
70,18.981524,72.827128,18.982447,72.827935,0.137,24.66,None,Monday 03:38 13-07-2015
71,18.982929,72.828525,18.981849,72.827551,0.161,23.184,None,Monday 03:38 13-07-2015
72,18.98091,72.826409,18.981423,72.826623,0.051,26.228571428571428,Mild,Monday 03:38 13-07-2015
73,18.980939,72.827356,18.98075,72.827981,0.069,31.050000000000004,None,Monday 03:38 13-07-2015
74,18.979483,72.818544,18.979879,72.820695,0.231,29.700000000000003,None,Monday 03:38 13-07-2015
75,18.981878,72.823192,18.983364,72.824286,0.756,18.514285714285712,None,Monday 03:38 13-07-2015
76,18.985476,72.824405,18.984449,72.824802,0.121,31.114285714285714,None,Monday 03:38 13-07-2015
77,18.988847,72.822479,18.991728,72.82094,0.372,26.784,None,Monday 03:38 13-07-2015
78,18.989744,72.822119,18.98772,72.823216,0.257,13.408695652173913,None,Monday 03:38 13-07-2015
79,18.989781,72.823019,18.990971,72.823641,0.148,22.2,None,Monday 03:38 13-07-2015
