SER,Distance,Speed,TIME
29,0.099,26.199642857142855,17
29,0.099,28.19705263157895,18
29,0.099,28.45516483516484,19
29,0.099,29.92521816418876,20
29,0.099,35.950909090909086,21
29,0.099,40.59000000000001,22
29,0.099,40.095000000000006,23
30,0.113,31.529370629370632,0
30,0.113,30.59692307692308,1
30,0.113,30.650414201183438,2
30,0.113,30.56215384615385,3
30,0.113,31.47857142857143,4
30,0.113,31.320247252747254,5
30,0.113,31.447527472527476,6
30,0.113,31.317142857142862,7
30,0.113,26.541017176101214,8
30,0.113,22.07012769686454,9
30,0.113,20.814700125960997,10
30,0.113,18.902070187758902,11
30,0.113,20.65256969117839,12
30,0.113,20.81829045517202,13
30,0.113,22.507656526885608,14
30,0.113,19.503628421921327,15
30,0.113,21.438174100499044,16
30,0.113,19.282556263612168,17
30,0.113,20.73427464526321,18
30,0.113,22.181766749996417,19
30,0.113,23.032258618574406,20
30,0.113,25.311055662603653,21
30,0.113,27.799862637362637,22
30,0.113,28.90813186813187,23
31,0.141,31.23489304812834,0
31,0.141,30.475227272727277,1
31,0.141,31.222132867132874,2
31,0.141,31.866000000000007,3
31,0.141,30.488961038961044,4
31,0.141,31.518270676691724,5
31,0.141,30.566416267942586,6
31,0.141,31.040358288770058,7
31,0.141,28.47439186200796,8
31,0.141,26.651706945228682,9
31,0.141,25.402849802371538,10
31,0.141,24.67855428732758,11
31,0.141,23.226545454545448,12
31,0.141,24.356663241106713,13
31,0.141,24.56851355166572,14
31,0.141,23.26087588932806,15
31,0.141,22.763852404566943,16
31,0.141,21.235121791252222,17
31,0.141,23.14147430848721,18
31,0.141,21.859217192511725,19
31,0.141,24.2938382269904,20
31,0.141,26.90227956254272,21
31,0.141,26.73321770334928,22
31,0.141,28.944998944553898,23
32,0.143,16.609596774193548,0
32,0.143,16.70159274193548,1
32,0.143,15.735732009925554,2
32,0.143,16.22198924731183,3
32,0.143,16.21253456221198,4
32,0.143,16.626307603686634,5
32,0.142,16.599451612903227,6
32,0.142,16.01313587487781,7
